,amino,ugi,quin,benzo
P1,Mpro-x0434_0A,Mpro-P0053_0A,Mpro-x10419_0A,Mpro-x12423_0A
P1_prime,Mpro-x12321_0A,Mpro-x2776_0A,Mpro-P0008_0A,Mpro-x10871_0A
P2,Mpro-x10598_0A,Mpro-x3359_0A,Mpro-x11366_0A,Mpro-x11757_0A
P3_4_5,Mpro-x10019_0A,Mpro-x10082_0A,Mpro-x3303_0A,Mpro-x11424_0A
